ticket_text,label
Authentication failed for API call from Aramex.,api_failure
Order 9786 not delivered on time in Mumbai.,delivery_delay
Delivery rescheduled for shipment 6828.,delivery_delay
Order 2834 not reflecting in warehouse system.,warehouse_sync
Refund for shipment 8787 not processed even after 4 hours.,payment
Customer charged twice for order 3303. Please verify invoice.,payment
Invoice mismatch detected for order 6720 from Flipkart.,payment
Order 2655 not delivered on time in Dubai.,delivery_delay
Stock mismatch detected for product in order 7775.,warehouse_sync
Timeout error observed during data sync for shipment 4893.,api_failure
Delivery rescheduled for shipment 9346.,delivery_delay
Client Aramex reporting shipment ID 4760 not updated in dashboard since 2 hours.,tracking
Order 9704 not reflecting in warehouse system.,warehouse_sync
Tracking page for order 4762 shows stale information from 4 hours ago.,tracking
Driver assigned late for delivery 4844.,delivery_delay
Refund for shipment 4794 not processed even after 6 hours.,payment
Invoice mismatch detected for order 6982 from Amazon.,payment
Payment failed but amount debited for order 6542.,payment
API returning 500 error while updating shipment 5819.,api_failure
Delivery status not reflecting latest scan for order 9004.,tracking
Customer charged twice for order 5466. Please verify invoice.,payment
Webhook not triggered for client BlueDart order 4325.,api_failure
Driver assigned late for delivery 7319.,delivery_delay
Dispatch delay reported for order 1978.,delivery_delay
Webhook not triggered for client Aramex order 8859.,api_failure
Refund for shipment 7734 not processed even after 4 hours.,payment
Warehouse sync issue between OMS and WMS for shipment 2065.,warehouse_sync
Unable to refresh tracking details for shipment 3231.,tracking
Delivery rescheduled for shipment 1179.,delivery_delay
Sync failure between systems affecting shipment 5436.,warehouse_sync
Webhook not triggered for client Aramex order 4521.,api_failure
Invoice mismatch detected for order 2408 from BlueDart.,payment
Shipment 4876 delayed beyond SLA by 12 hours.,delivery_delay
Sync failure between systems affecting shipment 4033.,warehouse_sync
Delivery rescheduled for shipment 7755.,delivery_delay
Delivery status not reflecting latest scan for order 1345.,tracking
Payment failed but amount debited for order 3821.,payment
Tracking page for order 7555 shows stale information from 9 hours ago.,tracking
Inventory not updated in WMS for SKU linked to order 3779.,warehouse_sync
Delivery status not reflecting latest scan for order 6960.,tracking
Client Aramex reporting shipment ID 2843 not updated in dashboard since 4 hours.,tracking
Authentication failed for API call from Amazon.,api_failure
Shipment 6327 delayed beyond SLA by 9 hours.,delivery_delay
Refund for shipment 3248 not processed even after 10 hours.,payment
Data sync failed between systems for order 5993.,api_failure
Shipment 9395 delayed beyond SLA by 9 hours.,delivery_delay
Billing amount incorrect for transaction 4209.,payment
Shipment 9224 status stuck in transit. No webhook activity detected.,tracking
Sync failure between systems affecting shipment 3187.,warehouse_sync
Tracking page for order 9044 shows stale information from 7 hours ago.,tracking
Stock mismatch detected for product in order 4838.,warehouse_sync
Payment failed but amount debited for order 6260.,payment
Shipment 1935 status stuck in transit. No webhook activity detected.,tracking
Sync failure between systems affecting shipment 6596.,warehouse_sync
API returning 500 error while updating shipment 8027.,api_failure
Invoice mismatch detected for order 1720 from Flipkart.,payment
Customer charged twice for order 2078. Please verify invoice.,payment
Shipment 9362 status stuck in transit. No webhook activity detected.,tracking
Dispatch delay reported for order 5118.,delivery_delay
Payment failed but amount debited for order 5080.,payment
Billing amount incorrect for transaction 9455.,payment
Payment failed but amount debited for order 6565.,payment
Sync failure between systems affecting shipment 8031.,warehouse_sync
Data sync failed between systems for order 4483.,api_failure
Order 9825 not delivered on time in Bangalore.,delivery_delay
Timeout error observed during data sync for shipment 6311.,api_failure
Order 1370 not reflecting in warehouse system.,warehouse_sync
Inventory not updated in WMS for SKU linked to order 1720.,warehouse_sync
Client DTDC reporting shipment ID 6609 not updated in dashboard since 6 hours.,tracking
API returning 500 error while updating shipment 3432.,api_failure
Shipment 8673 status stuck in transit. No webhook activity detected.,tracking
Shipment 4674 status stuck in transit. No webhook activity detected.,tracking
Webhook not triggered for client Amazon order 5575.,api_failure
Unable to refresh tracking details for shipment 2560.,tracking
Inventory not updated in WMS for SKU linked to order 6125.,warehouse_sync
Delivery status not reflecting latest scan for order 7285.,tracking
Warehouse sync issue between OMS and WMS for shipment 1672.,warehouse_sync
Tracking page for order 4431 shows stale information from 11 hours ago.,tracking
Dispatch delay reported for order 7703.,delivery_delay
Refund for shipment 2261 not processed even after 8 hours.,payment
API returning 500 error while updating shipment 3232.,api_failure
Shipment 2065 delayed beyond SLA by 3 hours.,delivery_delay
Order 3876 not delivered on time in Bangalore.,delivery_delay
Tracking page for order 6670 shows stale information from 5 hours ago.,tracking
Order 9863 not delivered on time in Dubai.,delivery_delay
Unable to refresh tracking details for shipment 6381.,tracking
Shipment 3149 delayed beyond SLA by 7 hours.,delivery_delay
Inventory not updated in WMS for SKU linked to order 9016.,warehouse_sync
Timeout error observed during data sync for shipment 4144.,api_failure
Client DTDC reporting shipment ID 4015 not updated in dashboard since 10 hours.,tracking
Tracking page for order 8169 shows stale information from 8 hours ago.,tracking
